"global_var_name","file","start_line","end_line"
"BZPOPMAX_Args","/home/runner/work/redis/redis/src/commands.def",8809,8809
"strval","/home/runner/work/redis/redis/tests/modules/moduleconfigs.c",7,7
"BZMPOP_Args","/home/runner/work/redis/redis/src/commands.def",8779,8779
"used_memory","/home/runner/work/redis/redis/src/zmalloc.c",90,90
"BZMPOP_where_Subargs","/home/runner/work/redis/redis/src/commands.def",8773,8773
"SUNIONSTORE_Args","/home/runner/work/redis/redis/src/commands.def",8748,8748
"SUNION_Args","/home/runner/work/redis/redis/src/commands.def",8724,8724
"SSCAN_Args","/home/runner/work/redis/redis/src/commands.def",8695,8695
"SREM_Args","/home/runner/work/redis/redis/src/commands.def",8668,8668
"SRANDMEMBER_Args","/home/runner/work/redis/redis/src/commands.def",8641,8641
"SPOP_Args","/home/runner/work/redis/redis/src/commands.def",8612,8612
"SMOVE_Args","/home/runner/work/redis/redis/src/commands.def",8582,8582
"SMISMEMBER_Args","/home/runner/work/redis/redis/src/commands.def",8557,8557
"SMEMBERS_Args","/home/runner/work/redis/redis/src/commands.def",8533,8533
"SISMEMBER_Args","/home/runner/work/redis/redis/src/commands.def",8506,8506
"SINTERSTORE_Args","/home/runner/work/redis/redis/src/commands.def",8481,8481
"SINTERCARD_Args","/home/runner/work/redis/redis/src/commands.def",8455,8455
"SINTER_Args","/home/runner/work/redis/redis/src/commands.def",8431,8431
"SDIFFSTORE_Args","/home/runner/work/redis/redis/src/commands.def",8404,8404
"SDIFF_Args","/home/runner/work/redis/redis/src/commands.def",8380,8380
"SCARD_Args","/home/runner/work/redis/redis/src/commands.def",8354,8354
"SADD_Args","/home/runner/work/redis/redis/src/commands.def",8329,8329
"TRIMSLOTS_Args","/home/runner/work/redis/redis/src/commands.def",8303,8303
"TRIMSLOTS_ranges_Subargs","/home/runner/work/redis/redis/src/commands.def",8297,8297
"TRIMSLOTS_ranges_slots_Subargs","/home/runner/work/redis/redis/src/commands.def",8291,8291
"SWAPDB_Args","/home/runner/work/redis/redis/src/commands.def",8232,8232
"SLOWLOG_Subcommands","/home/runner/work/redis/redis/src/commands.def",8189,8189
"SLOWLOG_GET_History","/home/runner/work/redis/redis/src/commands.def",8107,8107
"SLOWLOG_GET_Tips","/home/runner/work/redis/redis/src/commands.def",8114,8114
"SLOWLOG_LEN_Tips","/home/runner/work/redis/redis/src/commands.def",8156,8156
"SLOWLOG_RESET_Tips","/home/runner/work/redis/redis/src/commands.def",8177,8177
"SLOWLOG_GET_Args","/home/runner/work/redis/redis/src/commands.def",8126,8126
"SLAVEOF_Args","/home/runner/work/redis/redis/src/commands.def",8099,8099
"SLAVEOF_args_Subargs","/home/runner/work/redis/redis/src/commands.def",8093,8093
"SLAVEOF_args_no_one_Subargs","/home/runner/work/redis/redis/src/commands.def",8087,8087
"SLAVEOF_args_host_port_Subargs","/home/runner/work/redis/redis/src/commands.def",8081,8081
"SHUTDOWN_Args","/home/runner/work/redis/redis/src/commands.def",8056,8056
"SHUTDOWN_save_selector_Subargs","/home/runner/work/redis/redis/src/commands.def",8050,8050
"RESTORE_ASKING_Args","/home/runner/work/redis/redis/src/commands.def",7986,7986
"REPLICAOF_Args","/home/runner/work/redis/redis/src/commands.def",7958,7958
"REPLICAOF_args_Subargs","/home/runner/work/redis/redis/src/commands.def",7952,7952
"REPLICAOF_args_no_one_Subargs","/home/runner/work/redis/redis/src/commands.def",7946,7946
"REPLICAOF_args_host_port_Subargs","/home/runner/work/redis/redis/src/commands.def",7940,7940
"PSYNC_Args","/home/runner/work/redis/redis/src/commands.def",7900,7900
"MODULE_Subcommands","/home/runner/work/redis/redis/src/commands.def",7839,7839
"MODULE_LIST_Tips","/home/runner/work/redis/redis/src/commands.def",7753,7753
"MODULE_UNLOAD_Args","/home/runner/work/redis/redis/src/commands.def",7834,7834
"MODULE_LOADEX_Args","/home/runner/work/redis/redis/src/commands.def",7810,7810
"configs","/home/runner/work/redis/redis/src/config.c",271,271
"MODULE_LOADEX_configs_Subargs","/home/runner/work/redis/redis/src/commands.def",7804,7804
"MODULE_LOAD_Args","/home/runner/work/redis/redis/src/commands.def",7781,7781
"MEMORY_Subcommands","/home/runner/work/redis/redis/src/commands.def",7700,7700
"MEMORY_DOCTOR_Tips","/home/runner/work/redis/redis/src/commands.def",7583,7583
"MEMORY_MALLOC_STATS_Tips","/home/runner/work/redis/redis/src/commands.def",7621,7621
"MEMORY_PURGE_Tips","/home/runner/work/redis/redis/src/commands.def",7642,7642
"MEMORY_STATS_Tips","/home/runner/work/redis/redis/src/commands.def",7662,7662
"MEMORY_USAGE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",7688,7688
"MEMORY_USAGE_Args","/home/runner/work/redis/redis/src/commands.def",7694,7694
"LOLWUT_Args","/home/runner/work/redis/redis/src/commands.def",7570,7570
"LATENCY_Subcommands","/home/runner/work/redis/redis/src/commands.def",7524,7524
"LATENCY_DOCTOR_Tips","/home/runner/work/redis/redis/src/commands.def",7370,7370
